"","shipmode","Segment","Region","City","Total_sales","Total_profit","Total_Disc"
"1","First Class","Consumer","Central","Abilene",1.392,-3.7584,0.8
"2","First Class","Consumer","Central","Allen",30.264,-13.8837,1
"3","First Class","Consumer","Central","Arlington",56.512,-2.416,0.4
"4","First Class","Consumer","Central","Aurora",186.048,67.4424,0.2
"5","First Class","Consumer","Central","Austin",147.636,-31.3862,2
"6","First Class","Consumer","Central","Cedar Rapids",278.4,80.736,0
"7","First Class","Consumer","Central","Chicago",4522.69,186.2106,7.3
"8","First Class","Consumer","Central","Columbus",199.73,74.8437,0
"9","First Class","Consumer","Central","Dallas",1537.306,-335.8077,5.34
"10","First Class","Consumer","Central","Decatur",210.176,-24.8722,1
"11","First Class","Consumer","Central","Des Plaines",1109.372,-284.7474,2.4
"12","First Class","Consumer","Central","Detroit",2607.65,680.3038,0
"13","First Class","Consumer","Central","Eau Claire",435.54,163.9208,0
"14","First Class","Consumer","Central","Edinburg",85.908,26.9798,1
"15","First Class","Consumer","Central","El Paso",1390.296,15.8654,0.9
"16","First Class","Consumer","Central","Fort Worth",6.972,-9.9141,1.4
"17","First Class","Consumer","Central","Frankfort",76.864,26.9024,0.2
"18","First Class","Consumer","Central","Freeport",170.572,-131.409,1.6
"19","First Class","Consumer","Central","Garden City",21.11,7.8221,0
"20","First Class","Consumer","Central","Garland",28.776,-28.695,1
"21","First Class","Consumer","Central","Gladstone",164.34,52.5888,0
"22","First Class","Consumer","Central","Green Bay",468.9,206.316,0
"23","First Class","Consumer","Central","Harlingen",392.06,4.0569,0.72
"24","First Class","Consumer","Central","Houston",3518.956,-2192.2661,6.8
"25","First Class","Consumer","Central","Indianapolis",1107.66,498.5208,0
"26","First Class","Consumer","Central","Kirkwood",241.34,47.1344,0
"27","First Class","Consumer","Central","La Porte",142.142,-2.7732,1.4
"28","First Class","Consumer","Central","Lansing",67,32.16,0
"29","First Class","Consumer","Central","Madison",2854.48,686.4744,0
"30","First Class","Consumer","Central","Mansfield",517.405,-81.3065,0.3
"31","First Class","Consumer","Central","Milwaukee",34.79,10.7849,0
"32","First Class","Consumer","Central","Minneapolis",2457.73,852.887,0
"33","First Class","Consumer","Central","Oklahoma City",889.8,266.7636,0
"34","First Class","Consumer","Central","Omaha",178.37,62.0658,0
"35","First Class","Consumer","Central","Pasadena",6.928,-11.0848,0.8
"36","First Class","Consumer","Central","Pearland",470.376,52.9173,0.2
"37","First Class","Consumer","Central","Peoria",3.98,-6.567,0.8
"38","First Class","Consumer","Central","Plano",10.368,3.6288,0.2
"39","First Class","Consumer","Central","Quincy",1.964,-3.2406,0.8
"40","First Class","Consumer","Central","Rockford",33.568,-53.7088,0.8
"41","First Class","Consumer","Central","Roseville",4.36,0.1744,0
"42","First Class","Consumer","Central","Saint Charles",11.56,5.6644,0
